modLLIDs	row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
584	ENSG00000142949	ENSG00000142949	46.72111398	0.378664292	0.347841099	1.088612854	0.276324646	0.460776247
593	ENSG00000196517	ENSG00000196517	166.2866005	1.003153039	0.284432547	3.526857417	0.000420523	0.008610716
602	ENSG00000142959	ENSG00000142959	7.423792696	0.212931423	0.377906806	0.563449559	0.573128798	NA
608	ENSG00000126107	ENSG00000126107	345.7829835	0.211264866	0.103971022	2.03195912	0.042157795	0.134999945
609	ENSG00000126088	ENSG00000126088	125.0071036	0.274273804	0.109416315	2.506699332	0.012186432	0.06039785
616	ENSG00000132763	ENSG00000132763	33.85516068	-0.189614918	0.188715215	-1.004767518	0.315008808	0.501794519
619	ENSG00000132780	ENSG00000132780	288.9147706	0.025931277	0.074574234	0.347724342	0.728047214	0.838698975
648	ENSG00000162366	ENSG00000162366	769.4139265	0.775561312	0.264276485	2.934658799	0.003339146	0.027374481
649	ENSG00000162367	ENSG00000162367	322.8597843	0.466029193	0.206572359	2.256009448	0.024070039	0.093977876
650	ENSG00000123473	ENSG00000123473	197.6065261	0.714900276	0.238527255	2.997142925	0.002725229	0.024216019
664	ENSG00000123091	ENSG00000123091	946.5579436	0.38892551	0.181230649	2.14602504	0.031870981	0.112568441
671	ENSG00000198841	ENSG00000198841	39.82137553	-0.156314662	0.148206642	-1.054707536	0.291559104	0.478043072
687	ENSG00000157184	ENSG00000157184	48.92860465	-0.185078626	0.127832755	-1.44781849	0.14766782	0.306494155
696	ENSG00000081870	ENSG00000081870	54.69591199	-0.188113377	0.163449974	-1.150892669	0.249776394	0.430400737
705	ENSG00000157216	ENSG00000157216	577.5177643	0.197448782	0.126065832	1.566235507	0.117293493	0.265377657
712	ENSG00000006555	ENSG00000006555	137.1432456	-0.196582775	0.105907378	-1.856176392	0.06342842	0.175454068
713	ENSG00000162398	ENSG00000162398	13.53658156	-0.607077989	0.368802593	-1.646078415	0.099747616	NA
714	ENSG00000116133	ENSG00000116133	49.05946332	-0.17475994	0.179959293	-0.971108171	0.331494415	0.517261527
733	ENSG00000162599	ENSG00000162599	102.6774434	0.370445971	0.139303854	2.659265768	0.007831116	0.045673731
753	ENSG00000116675	ENSG00000116675	123.4927697	0.588388864	0.247194848	2.380263456	0.017300264	0.075410421
755	ENSG00000116678	ENSG00000116678	35.17586599	-0.183106282	0.227075399	-0.806367765	0.420030828	0.600204499
757	ENSG00000118473	ENSG00000118473	14.74795183	0.653789158	0.49115267	1.331132248	0.1831455	NA
765	ENSG00000081985	ENSG00000081985	37.67856976	-0.625613732	0.21615262	-2.894314818	0.00379987	0.029485986
788	ENSG00000116791	ENSG00000116791	41.08203322	-0.381272149	0.20192062	-1.888227905	0.058995361	0.167686041
860	ENSG00000097046	ENSG00000097046	42.45221361	0.187594723	0.183570929	1.021919561	0.306818973	0.493659491
869	ENSG00000162676	ENSG00000162676	137.8163595	-0.064863496	0.136330185	-0.475782351	0.634229444	0.775616493
883	ENSG00000117528	ENSG00000117528	142.5628917	0.005988084	0.095489653	0.062709245	0.949998035	0.974597464
888	ENSG00000152078	ENSG00000152078	39.93139094	0.297923235	0.251625851	1.183992959	0.23641585	0.414945466
903	ENSG00000122477	ENSG00000122477	5.953466299	-0.883744329	0.458372381	-1.928005189	0.053854481	NA
916	ENSG00000240038	ENSG00000240038	65.93018897	-0.318838878	0.129361326	-2.464715598	0.013712204	0.064947894
928	ENSG00000162639	ENSG00000162639	75.56934389	-0.250442662	0.133878677	-1.870668783	0.061391004	0.17200408
934	ENSG00000121957	ENSG00000121957	78.94058036	0.171240708	0.133755856	1.280248305	0.200457822	0.372641075
946	ENSG00000143106	ENSG00000143106	217.6160243	-0.027614782	0.089185689	-0.309632434	0.756840489	0.857913103
968	ENSG00000162775	ENSG00000162775	461.426077	-0.124073391	0.06228563	-1.992006676	0.046370325	0.1428911
1019	ENSG00000009307	ENSG00000009307	2131.762415	0.184566785	0.075537857	2.443368032	0.01455089	0.067800343
1040	ENSG00000183508	ENSG00000183508	11244.54206	0.872621721	0.2951624	2.956412203	0.003112408	0.026211315
1080	ENSG00000265241	ENSG00000265241	187.7923479	0.086973898	0.093520342	0.929999786	0.352371195	0.538081691
1120	ENSG00000178096	ENSG00000178096	32.47959793	-0.079925625	0.266174445	-0.300275353	0.763967132	0.862592575
1162	ENSG00000159352	ENSG00000159352	516.1662324	0.221944136	0.077445292	2.865818324	0.004159329	0.031144629
1166	ENSG00000143416	ENSG00000143416	2476.853565	0.98699013	0.284391683	3.470530922	0.000519431	0.009616418
1172	ENSG00000159409	ENSG00000159409	16.18969253	0.246540158	0.316647482	0.778595036	0.436218304	NA
1180	ENSG00000196407	ENSG00000196407	52.2802809	0.786211429	0.238042025	3.302826166	0.000957157	0.013222489
1246	ENSG00000143621	ENSG00000143621	193.3785135	0.046209626	0.089875035	0.514154195	0.60714419	0.755300221
1255	ENSG00000143543	ENSG00000143543	444.2783344	0.122689247	0.089220362	1.375126081	0.16909236	0.334173755
1292	ENSG00000163462	ENSG00000163462	44.41516274	-0.175671071	0.153237825	-1.146394966	0.251631764	0.432609392
1306	ENSG00000163374	ENSG00000163374	516.11995	0.287665046	0.11268635	2.552794071	0.010686266	0.055784964
1337	ENSG00000163382	ENSG00000163382	93.97488726	-0.024019631	0.12209697	-0.196725856	0.844042075	0.912335292
1346	ENSG00000143321	ENSG00000143321	2023.36874	0.801789149	0.205647592	3.89885017	9.67E-05	0.003694452
1376	ENSG00000163554	ENSG00000163554	117.6969074	0.74302725	0.273741044	2.714343599	0.006640725	0.041066997
1387	ENSG00000213088	ENSG00000213088	43.65744293	1.029603437	0.333147266	3.090535457	0.001997959	0.020092397
1424	ENSG00000179914	ENSG00000179914	30.40467792	1.187454948	0.418167569	2.839662938	0.004516122	0.032511657
1435	ENSG00000158796	ENSG00000158796	98.73377398	0.242429912	0.095978718	2.525871538	0.011541167	0.058456684
1439	ENSG00000158850	ENSG00000158850	278.8942843	0.477623208	0.129439045	3.689946944	0.000224301	0.006082993
1448	ENSG00000143252	ENSG00000143252	289.6328079	-0.056704138	0.074658046	-0.759518103	0.447542689	0.62493311
1472	ENSG00000143228	ENSG00000143228	6.070499759	0.321971074	0.432769732	0.743977802	0.456889905	NA
1473	ENSG00000185630	ENSG00000185630	129.6442748	0.372567643	0.22140428	1.682748148	0.092423857	0.225328673
1490	ENSG00000143162	ENSG00000143162	615.2131894	0.795414006	0.179613268	4.428481354	9.49E-06	0.001083138
1494	ENSG00000143158	ENSG00000143158	42.84100424	0.15465717	0.170506555	0.907045305	0.36438284	0.549331195
1495	ENSG00000143164	ENSG00000143164	357.6859234	0.212331928	0.106762747	1.988820395	0.046721031	0.14363296
1514	ENSG00000000457	ENSG00000000457	156.5572426	0.01929539	0.083573512	0.230879257	0.817408606	0.89592753
1527	ENSG00000010165	ENSG00000010165	174.4371998	-0.090673901	0.089761421	-1.010165616	0.31241595	0.498948771
1529	ENSG00000135845	ENSG00000135845	174.0846223	0.341996296	0.149971917	2.280402238	0.022583843	0.09028125
1531	ENSG00000094975	ENSG00000094975	329.9705628	0.142348016	0.082137	1.733055945	0.083085726	0.209947321
1535	ENSG00000117592	ENSG00000117592	1180.872813	0.685292552	0.207174129	3.307809502	0.000940287	0.0131439
1545	ENSG00000152061	ENSG00000152061	997.0287781	-0.05819643	0.062406022	-0.932545104	0.351054888	0.53718558
1562	ENSG00000116199	ENSG00000116199	212.578983	0.305652144	0.134895924	2.265836772	0.023461379	0.092213966
1583	ENSG00000135821	ENSG00000135821	6146.768168	0.646898564	0.158666819	4.077087879	4.56E-05	0.002439577
1607	ENSG00000116668	ENSG00000116668	118.6047259	0.326362382	0.136232389	2.395629881	0.016591835	0.073620291
1637	ENSG00000066279	ENSG00000066279	26.62803131	0.340009886	0.257623292	1.319794821	0.186903531	0.357231247
1648	ENSG00000118193	ENSG00000118193	19.59173116	0.929197131	0.310489715	2.992682481	0.002765373	0.024425037
1666	ENSG00000198892	ENSG00000198892	104.5718707	0.672326216	0.288603065	2.329587926	0.019827941	0.082773389
1667	ENSG00000163431	ENSG00000163431	7.793145866	0.461639979	0.579907185	0.796058388	0.425998099	NA
1673	ENSG00000143851	ENSG00000143851	297.6458508	-0.090277071	0.081640809	-1.105783631	0.268820182	0.45191621
1681	ENSG00000159346	ENSG00000159346	8899.307838	0.78769752	0.245429796	3.209461654	0.001329838	0.015878052
1683	ENSG00000163444	ENSG00000163444	352.0021747	0.359239867	0.099599485	3.606844618	0.000309943	0.007233038
1714	ENSG00000133069	ENSG00000133069	689.0974872	1.297066134	0.253235667	5.121972557	3.02E-07	0.000175178
1716	ENSG00000162873	ENSG00000162873	32.37150943	0.658290281	0.344795848	1.909217542	0.056234034	0.16187332
1728	ENSG00000196188	ENSG00000196188	29.47084936	0.87891145	0.355914368	2.469446383	0.01353223	0.064380774
1736	ENSG00000143479	ENSG00000143479	20.53242805	0.530331751	0.376999104	1.406718865	0.159510769	0.322212667
1745	ENSG00000182795	ENSG00000182795	23.42098042	0.915565964	0.366665662	2.497004927	0.012524722	0.061375835
1747	ENSG00000180667	ENSG00000180667	519.28262	0.424693649	0.217700355	1.950817439	0.051078767	0.152680878
1753	ENSG00000197721	ENSG00000197721	81.87178913	0.938765186	0.27075915	3.467159595	0.000525989	0.00964892
1762	ENSG00000162757	ENSG00000162757	21.65486621	-0.363829796	0.210071518	-1.731933005	0.083285492	0.210063128
1769	ENSG00000117625	ENSG00000117625	513.6506503	0.02659935	0.069704757	0.38160022	0.702757921	0.821530491
1776	ENSG00000143476	ENSG00000143476	17.20298947	0.847320995	0.329745701	2.569619534	0.010181026	NA
1817	ENSG00000186063	ENSG00000186063	314.9123052	0.24251026	0.107058792	2.265206379	0.023500018	0.092304113
1831	ENSG00000162923	ENSG00000162923	2003.590537	0.285727755	0.108989072	2.621618382	0.008751336	0.048801306
1853	ENSG00000143776	ENSG00000143776	66.6338171	0.349816767	0.234062577	1.494543769	0.135033551	0.290051969
1860	ENSG00000143761	ENSG00000143761	2878.595284	0.366771967	0.098607914	3.719498281	0.000199619	0.005676477
1863	ENSG00000143774	ENSG00000143774	6591.598102	0.570037212	0.210241192	2.711348835	0.006701009	0.041259476
1864	ENSG00000198835	ENSG00000198835	12.87682573	0.318752982	0.310347879	1.027082844	0.304381456	NA
1868	ENSG00000162931	ENSG00000162931	147.0122596	0.006080161	0.10679999	0.056930352	0.954600676	0.976388077
1870	ENSG00000181218	ENSG00000181218	14.73613817	0.967494482	0.31641345	3.057690759	0.002230496	NA
1871	ENSG00000196890	ENSG00000196890	233.1215286	0.730082419	0.218256183	3.345070954	0.000822615	0.01220443
1872	ENSG00000168159	ENSG00000168159	707.2475371	0.414765882	0.151352715	2.740392743	0.006136581	0.03903507
1879	ENSG00000135776	ENSG00000135776	286.9020395	0.335411804	0.127888136	2.622696791	0.008723687	0.048796024
1880	ENSG00000135801	ENSG00000135801	140.990369	-0.172380107	0.090071691	-1.913810046	0.055644431	0.160960374
1893	ENSG00000116906	ENSG00000116906	179.0630799	0.001494461	0.07268274	0.020561433	0.983595506	0.99186385
1906	ENSG00000183780	ENSG00000183780	9.054623046	0.511892346	0.459388877	1.114289813	0.265154876	NA
1919	ENSG00000086619	ENSG00000086619	124.9728551	-0.102367651	0.101146139	-1.012076708	0.311501378	0.498164903
1943	ENSG00000054282	ENSG00000054282	169.3895974	0.191085626	0.098951011	1.931113422	0.053469028	0.157066939
1949	ENSG00000121644	ENSG00000121644	140.5957165	-0.154693956	0.098801796	-1.565699836	0.117418905	0.265610284
1950	ENSG00000203667	ENSG00000203667	68.01443376	-0.1603274	0.13635035	-1.175848838	0.239655287	0.418353689
1979	ENSG00000162722	ENSG00000162722	5360.658415	0.83430762	0.277523587	3.006258414	0.002644841	0.023731169
1980	ENSG00000238243	ENSG00000238243	426.6421907	1.117291974	0.292639706	3.817978047	0.00013455	0.00461157
1981	ENSG00000177462	ENSG00000177462	4.395439071	0.943321302	0.723670295	1.303523592	0.192396067	NA
2018	ENSG00000143727	ENSG00000143727	253.6785651	0.217604454	0.124606016	1.746339869	0.080751912	0.205895396
2026	ENSG00000171853	ENSG00000171853	1203.454843	0.029837214	0.04721933	0.631885575	0.52746165	0.694365077
2053	ENSG00000115758	ENSG00000115758	987.9280003	0.361396606	0.175705026	2.056837044	0.039701903	0.129901357
2055	ENSG00000143882	ENSG00000143882	14.39697535	0.112173556	0.271293042	0.413477452	0.679256839	NA
2059	ENSG00000162976	ENSG00000162976	162.4990182	-0.121493135	0.109261523	-1.111948034	0.266160494	0.448921488
2082	ENSG00000118965	ENSG00000118965	51.87211214	-0.175229191	0.150570428	-1.163768959	0.244517655	0.42399552
2089	ENSG00000143869	ENSG00000143869	39.08722081	-0.549303824	0.238270062	-2.30538331	0.021145115	0.086462369
2096	ENSG00000205639	ENSG00000205639	202.7467827	0.69446061	0.236840926	2.932181618	0.003365898	0.027517039
2108	ENSG00000138092	ENSG00000138092	26.61114647	-0.241172468	0.216701684	-1.112923829	0.265741145	0.448279755
2134	ENSG00000228474	ENSG00000228474	143.8965572	0.2673186	0.128316514	2.083275105	0.037226155	0.124610101
2157	ENSG00000138002	ENSG00000138002	66.39329422	-0.412767274	0.136457029	-3.024888335	0.002487249	0.022857133
2162	ENSG00000176714	ENSG00000176714	13.46871611	0.006915908	0.320508653	0.021577914	0.982784652	NA
2166	ENSG00000243147	ENSG00000243147	42.10837323	-0.249305512	0.149599803	-1.666482886	0.095617274	0.230674466
2173	ENSG00000171103	ENSG00000171103	47.6910226	-0.147129558	0.1646437	-0.893623972	0.371523116	0.556369996
2283	ENSG00000068878	ENSG00000068878	676.9479446	0.129047519	0.083499209	1.545493911	0.122226841	0.272759821
2292	ENSG00000085760	ENSG00000085760	90.16572454	-0.024833406	0.122086492	-0.203408299	0.838815914	0.909194162
2310	ENSG00000170264	ENSG00000170264	7.479708368	-0.42065756	0.402443395	-1.045258948	0.295903305	NA
2318	ENSG00000014641	ENSG00000014641	143.8892632	-0.088671837	0.099323246	-0.892760158	0.371985627	0.556440136
2336	ENSG00000221823	ENSG00000221823	433.793635	0.337723492	0.120591944	2.800547702	0.005101597	0.035175584
2355	ENSG00000169564	ENSG00000169564	748.5197792	0.256713729	0.10053559	2.553461195	0.010665816	0.055746817
2358	ENSG00000116005	ENSG00000116005	112.9233016	-0.150521046	0.124020477	-1.213678979	0.224870335	0.400663179
2360	ENSG00000035141	ENSG00000035141	33.07221797	-0.321006563	0.188054969	-1.706982613	0.087825284	0.217546153
2362	ENSG00000075340	ENSG00000075340	101.1117428	0.252302651	0.178963419	1.409800124	0.15859871	0.321130451
2405	ENSG00000005448	ENSG00000005448	44.16119145	-0.285289576	0.193422753	-1.474953546	0.140225033	0.296490196
2409	ENSG00000239779	ENSG00000239779	51.57472726	-0.359471111	0.136899392	-2.625805018	0.008644432	0.048521598
2469	ENSG00000153561	ENSG00000153561	1144.195681	0.252294169	0.104748602	2.40856837	0.016015226	0.07183327
2483	ENSG00000153574	ENSG00000153574	492.7696116	0.527091743	0.203155686	2.594521246	0.009472276	0.051553739
2489	ENSG00000275111	ENSG00000275111	45.14574257	0.005385009	0.15246067	0.035320642	0.971824063	0.985658156
2505	ENSG00000198885	ENSG00000198885	37.8106231	-0.318496654	0.210073098	-1.516122988	0.129488257	0.282843542
2522	ENSG00000115073	ENSG00000115073	303.1792971	-0.12261913	0.085986076	-1.426034728	0.153858318	0.314785657
2572	ENSG00000135974	ENSG00000135974	110.453755	-0.097121869	0.108086219	-0.898559219	0.368887489	0.553990971
2573	ENSG00000115641	ENSG00000115641	47.83713645	0.063830436	0.164271015	0.388567855	0.69759585	0.817722286
2606	ENSG00000153214	ENSG00000153214	244.0827585	0.05079764	0.08245953	0.616031164	0.537873952	0.702895306
2635	ENSG00000125633	ENSG00000125633	435.6481062	0.045350702	0.050502647	0.897986629	0.369192678	0.554235665
2658	ENSG00000136732	ENSG00000136732	6662.207747	0.767454402	0.234702018	3.269909692	0.001075818	0.014122224
2727	ENSG00000204406	ENSG00000204406	264.0500102	0.075534554	0.070569919	1.070350582	0.284461535	0.470043336
2748	ENSG00000153234	ENSG00000153234	36.06154452	-0.205356126	0.199164176	-1.031089676	0.302498769	0.489459002
2750	ENSG00000136542	ENSG00000136542	10.3294589	0.553624125	0.474530919	1.166676612	0.243340991	NA
2843	ENSG00000144320	ENSG00000144320	203.9869767	0.092871113	0.10351513	0.897174291	0.369625921	0.554618579
2855	ENSG00000128654	ENSG00000128654	26.27422305	-0.409234045	0.213511904	-1.916680227	0.055278569	0.160339219
2873	ENSG00000170035	ENSG00000170035	154.9950865	0.18304114	0.100995417	1.812370761	0.069928928	0.186879853
2904	ENSG00000187699	ENSG00000187699	177.0404724	0.012724662	0.146780193	0.086691954	0.930916372	0.963844442
2906	ENSG00000198130	ENSG00000198130	128.6386955	-0.226639256	0.103620774	-2.187199032	0.028727997	0.105341965
2939	ENSG00000178074	ENSG00000178074	73.82091711	-0.193525712	0.124048952	-1.560075348	0.118742076	0.267573673
2943	ENSG00000155729	ENSG00000155729	108.8760941	-0.078209988	0.108268274	-0.722372171	0.470065692	0.644818235
2944	ENSG00000163535	ENSG00000163535	11.83632439	-0.144639131	0.317432603	-0.455653041	0.648639495	NA
2956	ENSG00000155749	ENSG00000155749	235.0179122	0.546890732	0.138745059	3.941695182	8.09E-05	0.003361249
2957	ENSG00000115993	ENSG00000115993	996.7573841	0.508105838	0.185038215	2.745950818	0.006033581	0.038601407
2958	ENSG00000082146	ENSG00000082146	3624.924402	0.63769836	0.254130139	2.509337782	0.012095776	0.060202345
2960	ENSG00000155755	ENSG00000155755	12.18534259	-0.277745318	0.320796989	-0.865797771	0.386601072	NA
2997	ENSG00000163251	ENSG00000163251	59.83499569	0.521131443	0.210919866	2.470755617	0.013482792	0.064301706
3033	ENSG00000079308	ENSG00000079308	5564.31794	0.820380999	0.279208739	2.938235394	0.003300863	0.027181977
3040	ENSG00000127838	ENSG00000127838	209.1459563	0.223972897	0.113341749	1.976084704	0.048145184	0.146554839
3041	ENSG00000135926	ENSG00000135926	1203.060979	0.235236735	0.07638516	3.079613035	0.002072697	0.020510628
3066	ENSG00000115649	ENSG00000115649	1048.108819	0.483878711	0.176582797	2.740236977	0.00613949	0.03903507
3067	ENSG00000144567	ENSG00000144567	1408.083351	0.323338738	0.113239865	2.85534373	0.004299027	0.031706001
3070	ENSG00000198925	ENSG00000198925	600.9939686	0.272271825	0.11475784	2.37257712	0.017664475	0.076543888
3076	ENSG00000135924	ENSG00000135924	901.8863141	0.354946627	0.162556813	2.183523532	0.028997278	0.105801365
3108	ENSG00000144468	ENSG00000144468	353.3576353	0.246474462	0.104444276	2.359865669	0.018281554	0.078379994
3121	ENSG00000153827	ENSG00000153827	2205.688066	0.30900121	0.085559801	3.611523255	0.000304404	0.007200344
3133	ENSG00000173692	ENSG00000173692	238.3676763	-0.01655997	0.07287804	-0.227228532	0.820246043	0.897841013
3134	ENSG00000135914	ENSG00000135914	14.76616193	0.043317424	0.272331141	0.159061588	0.873620352	NA
3141	ENSG00000156973	ENSG00000156973	85.01419192	0.081005578	0.102581273	0.789672182	0.429719242	0.608721461
3142	ENSG00000144524	ENSG00000144524	159.3978773	-0.161801593	0.098408883	-1.6441767	0.100139708	0.238211739
3153	ENSG00000135930	ENSG00000135930	351.8756088	0.05208591	0.063703315	0.817632638	0.413566985	0.594073006
3161	ENSG00000085978	ENSG00000085978	344.1909204	-0.056648293	0.069480015	-0.815317804	0.41489042	0.59520511
3228	ENSG00000115677	ENSG00000115677	1325.545744	0.237426408	0.093408535	2.541806368	0.011028125	0.056955171
3229	ENSG00000168385	ENSG00000168385	759.0980864	-0.031597136	0.050044154	-0.631385166	0.527788713	0.694580108
3275	ENSG00000156990	ENSG00000156990	149.2059628	-0.025668443	0.090995873	-0.282083594	0.777879412	0.869943241
3282	ENSG00000125037	ENSG00000125037	420.6293137	0.541806496	0.150161632	3.608155344	0.000308382	0.007229075
3285	ENSG00000254999	ENSG00000254999	291.7160395	0.233009816	0.094419042	2.467826519	0.013593618	0.064594412
3297	ENSG00000144560	ENSG00000144560	185.2113999	-0.114509909	0.078740474	-1.454270008	0.145871462	0.304510475
3316	ENSG00000268279	ENSG00000268279	25.15653638	0.019061307	0.211782096	0.090004334	0.92828377	0.962082695
3340	ENSG00000154822	ENSG00000154822	835.0399675	0.193425679	0.070983259	2.72494784	0.006431165	0.040172567
3347	ENSG00000114166	ENSG00000114166	912.2683696	0.279860399	0.130520655	2.144184748	0.032018087	0.112809849
3366	ENSG00000206559	ENSG00000206559	8.945432807	0.08984882	0.355026661	0.253076261	0.800209283	NA
3404	ENSG00000172939	ENSG00000172939	420.2176498	0.246917727	0.075973839	3.250036209	0.001153903	0.01476092
3413	ENSG00000114742	ENSG00000114742	276.8383318	0.043030952	0.065649582	0.655464225	0.512168913	0.680936853
3420	ENSG00000144659	ENSG00000144659	244.5376587	0.228972193	0.128704179	1.779057957	0.075230261	0.196622264
3424	ENSG00000114784	ENSG00000114784	456.3843529	0.332587779	0.169475947	1.962448267	0.049710318	0.149461509
3444	ENSG00000181061	ENSG00000181061	20.21156342	-0.020301477	0.212002128	-0.095760722	0.923710613	0.959203425
3445	ENSG00000144648	ENSG00000144648	22.01896913	0.269381121	0.353051948	0.763007038	0.445459199	0.623430714
3451	ENSG00000144647	ENSG00000144647	49.52369814	0.013470568	0.179134651	0.075198001	0.940057175	0.968620784
3458	ENSG00000178917	ENSG00000178917	91.28498149	-0.147347857	0.136233022	-1.081586937	0.279436112	0.46451512
3460	ENSG00000144792	ENSG00000144792	9.775089293	-0.614155262	0.314529243	-1.952617366	0.050864952	NA
3466	ENSG00000163808	ENSG00000163808	17.03866908	0.357849513	0.323090747	1.107582054	0.268042357	NA
3467	ENSG00000169964	ENSG00000169964	55.57284676	-0.374346689	0.144636421	-2.588191047	0.009648145	0.052220809
3471	ENSG00000163815	ENSG00000163815	1.536301072	-0.412848503	0.759743613	-0.543405033	0.586850961	NA
3473	ENSG00000249992	ENSG00000249992	178.3001475	2.661766807	0.431025285	6.175430773	6.60E-10	3.88E-06
3501	ENSG00000181555	ENSG00000181555	1122.696068	0.057192064	0.042352633	1.350378008	0.176894762	0.345079082
3514	ENSG00000172113	ENSG00000172113	140.2158958	-0.204769997	0.085782444	-2.38708513	0.016982558	0.074606486
3539	ENSG00000178057	ENSG00000178057	140.3368021	0.141120275	0.108232946	1.303856912	0.192282374	0.363361451
