	modLLIDs	row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
16164	ENSG00000129968	ENSG00000129968	1133.426334	-0.260639061	0.061776514	-4.219063924	2.45E-05	0.001718826
16222	ENSG00000007264	ENSG00000007264	234.1640282	-0.668903614	0.158063591	-4.231863971	2.32E-05	0.001689522
16413	ENSG00000180739	ENSG00000180739	261.6617667	-0.724683463	0.212237406	-3.41449453	0.000639005	0.010691233
16634	ENSG00000096996	ENSG00000096996	310.1513562	-0.029228727	0.083935526	-0.348228316	0.727668724	0.838623622
16732	ENSG00000166289	ENSG00000166289	199.4298731	-0.365215852	0.162294912	-2.250322255	0.024428496	0.094873274
17104	ENSG00000185800	ENSG00000185800	144.9873729	-0.278704013	0.096914027	-2.875786098	0.004030227	0.030606816
17305	ENSG00000269403	ENSG00000269403	0.953404033	-1.376438567	0.856884166	-1.606329795	0.108201467	NA
17306	ENSG00000160318	ENSG00000160318	50.19447033	-0.429696743	0.205332836	-2.092684014	0.036377371	0.122564564
17307	ENSG00000105374	ENSG00000105374	644.9293864	-0.305140902	0.160927414	-1.896139975	0.057941538	0.165531159
17309	ENSG00000262874	ENSG00000262874	27.82900603	-0.977534507	0.297367635	-3.287292874	0.001011556	0.013590685
17411	ENSG00000189430	ENSG00000189430	70.60478392	-0.577310091	0.183722371	-3.142296109	0.001676284	0.01801316
18128	ENSG00000154734	ENSG00000154734	31.15969245	-0.650550944	0.303414378	-2.14410058	0.032024829	0.112809849
18312	ENSG00000142173	ENSG00000142173	127.3973207	-0.778972873	0.184858332	-4.213891061	2.51E-05	0.001718826
18400	ENSG00000100027	ENSG00000100027	74.35747342	-0.434758778	0.138862147	-3.130866023	0.001742917	0.018475858
18445	ENSG00000197077	ENSG00000197077	51.97529509	-0.205089631	0.241099013	-0.850644839	0.394966673	0.577633289
18561	ENSG00000100385	ENSG00000100385	726.1158721	-0.524298539	0.126114019	-4.15733747	3.22E-05	0.001941116
18710	ENSG00000075234	ENSG00000075234	217.6039143	-0.289057157	0.120100237	-2.406799228	0.016093014	0.072072182
19533	ENSG00000067840	ENSG00000067840	148.2445538	-0.595605279	0.179682367	-3.314767538	0.000917194	0.012922852
