	modLLIDs	row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
7206	ENSG00000179869	ENSG00000179869	100.1669236	1.040669851	0.404723695	2.571309426	0.010131476	0.053889988
7712	ENSG00000258227	ENSG00000258227	20.80279886	0.081684025	0.253407527	0.322342538	0.747193211	0.85217548
7856	ENSG00000164821	ENSG00000164821	33.35737882	0.959814448	0.518370094	1.851600737	0.064083177	0.176555386
7859	ENSG00000239839	ENSG00000239839	54.02087288	0.731455127	0.474261594	1.5423031	0.122999956	0.273778338
8095	ENSG00000185900	ENSG00000185900	111.7481436	-0.034599352	0.104930357	-0.329736344	0.74159919	0.848160334
8116	ENSG00000120992	ENSG00000120992	221.6842445	0.097403155	0.08408464	1.158394145	0.246703227	0.426757421
8233	ENSG00000085719	ENSG00000085719	390.7832175	0.236147429	0.096941854	2.435969791	0.014851925	0.068742647
8935	ENSG00000148154	ENSG00000148154	240.7003851	0.050001063	0.115857288	0.431574603	0.666050621	0.798093068
9070	ENSG00000148346	ENSG00000148346	90.43062455	0.716245912	0.339666535	2.108673765	0.034972751	0.119343878
9147	ENSG00000160271	ENSG00000160271	569.3076818	-0.181731437	0.084055431	-2.162042763	0.03061488	0.109461232
9327	ENSG00000065809	ENSG00000065809	837.5759655	-0.051801455	0.061558316	-0.84150214	0.400066687	0.58216017
9771	ENSG00000099194	ENSG00000099194	35.2474032	-0.017276629	0.228567548	-0.075586535	0.939748049	0.968563441
10534	ENSG00000134827	ENSG00000134827	38.71631034	1.419213377	0.321237501	4.417956723	9.96E-06	0.001105046
10537	ENSG00000149516	ENSG00000149516	34.61837164	0.846822168	0.376570136	2.248776754	0.024526703	0.095045039
10975	ENSG00000196371	ENSG00000196371	119.6545556	0.097613668	0.123713542	0.789029775	0.430094604	0.608959673
10976	ENSG00000134627	ENSG00000134627	28.18305328	0.175719965	0.23312082	0.753772079	0.450986092	0.628209434
11005	ENSG00000118113	ENSG00000118113	51.71448789	1.29569355	0.482235293	2.686849279	0.007212949	0.043130941
11365	ENSG00000198178	ENSG00000198178	40.86726358	0.498266289	0.293220867	1.699286595	0.089265197	0.220092629
11402	ENSG00000173391	ENSG00000173391	11.03152354	1.311585783	0.567806624	2.309916313	0.020892788	NA
11743	ENSG00000139572	ENSG00000139572	13.53203781	0.79310428	0.374424419	2.11819593	0.034158478	NA
12480	ENSG00000102837	ENSG00000102837	31.84129246	0.406321668	0.526164129	0.772233692	0.43997603	0.618259408
12647	ENSG00000169397	ENSG00000169397	10.87946422	0.785298055	0.570051645	1.377591069	0.16832958	NA
12648	ENSG00000169385	ENSG00000169385	58.12526105	0.75728587	0.28165849	2.688666941	0.007173796	0.043006191
12755	ENSG00000100448	ENSG00000100448	16.47495055	1.179200261	0.593698314	1.986194392	0.047011743	NA
13432	ENSG00000104043	ENSG00000104043	192.5473772	0.419559133	0.143787897	2.917902986	0.00352394	0.028284586
13439	ENSG00000138600	ENSG00000138600	280.2858991	0.018809525	0.079292494	0.237216965	0.812488475	0.892870368
14507	ENSG00000257017	ENSG00000257017	51.6661444	1.200940262	0.27209787	4.413633456	1.02E-05	0.00111682
14649	ENSG00000272636	ENSG00000272636	14.23497668	1.418936151	0.473406312	2.997290309	0.002723912	NA
14967	ENSG00000072134	ENSG00000072134	89.73021788	0.009991871	0.159795042	0.062529293	0.950141335	0.974597464
15325	ENSG00000108828	ENSG00000108828	213.9624897	0.155350393	0.095735769	1.622699596	0.104653638	0.245611569
15518	ENSG00000005381	ENSG00000005381	99.14835311	1.061649894	0.344585854	3.080944505	0.002063451	0.020470827
16057	ENSG00000242550	ENSG00000242550	6.423013077	0.846433363	0.706686894	1.197748776	0.231014834	NA
16114	ENSG00000070404	ENSG00000070404	53.80780661	0.096387953	0.156898259	0.614334114	0.538994564	0.703390838
16120	ENSG00000172232	ENSG00000172232	55.70321498	1.477444791	0.409893747	3.604457986	0.000312805	0.007253128
16121	ENSG00000196415	ENSG00000196415	18.96299235	1.476035484	0.573215967	2.575007621	0.010023788	0.053466266
16122	ENSG00000197561	ENSG00000197561	73.5518502	1.505006489	0.47100402	3.19531559	0.00139678	0.016346452
16328	ENSG00000104918	ENSG00000104918	37.44344972	1.310136586	0.40639246	3.223821095	0.001264924	0.015506201
16978	ENSG00000086548	ENSG00000086548	34.45814307	1.643480023	0.435242999	3.776005649	0.000159363	0.005019
17005	ENSG00000124469	ENSG00000124469	91.6119019	1.568147011	0.468649764	3.346095811	0.000819581	0.012193548
17377	ENSG00000248385	ENSG00000248385	3.274013495	1.022400235	0.828854052	1.233510571	0.217385335	NA
17852	ENSG00000101425	ENSG00000101425	77.12236061	0.675782641	0.356255827	1.8969027	0.057840781	0.165363867
18229	ENSG00000157554	ENSG00000157554	15.57227143	0.65458274	0.47395114	1.381118612	0.167242494	NA
18351	ENSG00000070371	ENSG00000070371	97.74785767	0.37420069	0.19295519	1.939313943	0.052463122	0.155197902
